state,district,zip
AK,1,99662-99663-99664-99665-99666-99667-99668-99669-99670-99671-99672-99674-99675-99676-99677-99678-99679-99680-99681-99682-99683-99684-99685-99686-99687-99688-99689-99690-99691-99692-99693-99694-99695-99697-99701-99702-99703-99704-99705-99706-99707-99708-99709-99710-99711-99712-99714-99716-99720-99721-99722-99723-99724-99725-99726-99727-99729-99730-99731-99732-99733-99734-99736-99737-99738-99739-99740-99741-99742-99743-99744-99745-99746-99747-99748-99749-99750-99751-99752-99753-99754-99755-99756-99757-99758-99759-99760-99761-99762-99763-99764-99765-99766-99767-99768-99769-99770-99771-99772-99773-99774-99775-99776-99777-99778-99779-99780-99781-99782-99784-99785-99786-99788-99789-99790-99791-99801-99802-99803-99811-99812-99820-99821-99824-99825-99826-99827-99829-99830-99832-99833-99835-99836-99840-99841-99850-99901-99903-99918-99919-99921-99922-99923-99925-99926-99927-99928-99929-99950-99585-99583-99581-99571-99529-99524-99523-99522-99521-99514-99513-99511-99509-99510-99520-99516-99515-99519-99518-99517-99569-99551-99548-99547-99546-99545-99540-99530-99550-99549-99568-99554-99553-99552-99567-99559-99558-99555-99557-99556-99566-99565-99561-99564-99563-99580-99579-99578-99573-99572-99577-99576-99574-99575-99501-99502-99503-99504-99505-99506-99507-99508-99661-99660-99587-99586-99659-99622-99605-99590-99589-99588-99604-99599-99591-99603-99602-99621-99612-99608-99607-99606-99611-99610-99609-99620-99614-99613-99619-99615-99658-99634-99629-99625-99624-99628-99627-99626-99633-99632-99631-99630-99657-99649-99639-99638-99637-99636-99635-99648-99643-99641-99640-99647-99644-99645-99656-99652-99651-99650-99655-99653-99654
AL,1,36425-36426-36427-36439-36441-36444-36445-36449-36457-36458-36460-36461-36462-36470-36471-36480-36481-36502-36503-36504-36505-36507-36509-36511-36512-36513-36518-36521-36522-36523-36525-36526-36527-36528-36529-36530-36532-36533-36535-36536-36538-36539-36541-36542-36543-36544-36547-36548-36549-36550-36551-36553-36555-36556-36558-36559-36560-36561-36562-36564-36567-36568-36569-36571-36572-36574-36575-36576-36577-36578-36579-36580-36581-36582-36583-36584-36585-36587-36590-36601-36602-36603-36604-36605-36606-36607-36608-36609-36610-36611-36612-36613-36615-36616-36617-36618-36619-36621-36622-36625-36628-36630-36633-36640-36641-36644-36652-36660-36663-36670-36671-36675-36685-36688-36689-36690-36691-36693-36695
AL,2,36009-36010-36015-36016-36017-36020-36022-36024-36025-36027-36028-36029-36030-36033-36034-36035-36036-36037-36038-36041-36042-36045-36046-36048-36049-36051-36052-36053-36054-36061-36062-36065-36066-36067-36068-36069-36071-36072-36078-36079-36080-36081-36082-36089-36092-36093-36101-36104-36106-36107-36109-36110-36111-36112-36113-36114-36115-36117-36123-36130-36177-36191-36303-36304-36305-36310-36311-36312-36313-36314-36316-36317-36318-36319-36320-36321-36322-36323-36330-36331-36340-36343-36344-36345-36346-36349-36350-36351-36352-36353-36360-36361-36302-36373-36374-36375-36376-36401-36362-36371-36420-36421-36370-36429-36432-36005-36442-36006-36301-36008-36454-36455-36456-36003-36453-36467-36473-36474-36475-36476-36477-36483-36749
AL,3,35011-35014-35032-35044-35052-35054-35082-35096-35112-35120-35125-35128-35131-35135-35146-35149-35150-35151-35160-35161-35182-35004-35010-35983-35987-35953-36013-35959-35960-36023-36031-36039-36064-36057-36075-36083-36087-36088-36201-36202-36203-36204-36210-36250-36251-36253-36254-36255-36256-36257-36258-36260-36261-36262-36263-36264-36265-36266-36267-36268-36269-36271-36272-36273-36274-36275-36276-36277-36278-36279-36280-36207-36206-36205-36801-36802-36803-36804-36830-36831-36832-36849-36850-36851-36852-36853-36854-36855-36856-36858-36859-36860-36861-36862-36863-36865-36866-36867-36868-36869-36870-36871-36872-36874-36875-36877-36879
AL,4,35016-35019-35033-35038-35053-35055-35056-35057-35058-35062-35063-35070-35083-35077-35087-35098-35148-35130-35175-35179-35406-35444-35446-35457-35458-35468-35473-35475-35476-35482-35501-35502-35503-35504-35540-35541-35542-35543-35544-35545-35546-35548-35549-35550-35551-35552-35553-35554-35555-35559-35560-35563-35564-35565-35570-35571-35572-35573-35574-35575-35576-35577-35578-35579-35580-35581-35582-35584-35592-35593-35594-35616-35618-35643-35646-35650-35651-35653-35654-35660-35661-35662-35672-35674-35747-35585-35586-35902-35587-35904-35905-35906-35907-35950-35951-35755-35954-35956-35957-35901-35903-35961-35967-35968-35971-35972-35973-35974-35975-35976-35978-35980-35981-35963-35984-35986-35964-35989-35988-35990-35962
AL,5,35601-35602-35603-35609-35610-35611-35612-35613-35614-35615-35617-35619-35620-35621-35622-35631-35632-35633-35630-35640-35634-35645-35649-35648-35647-35652-35671-35670-35673-35677-35699-35739-35740-35741-35742-35744-35745-35746-35748-35749-35750-35751-35752-35754-35756-35757-35758-35759-35760-35761-35762-35763-35764-35765-35766-35767-35768-35769-35771-35772-35773-35774-35775-35776-35801-35802-35803-35804-35805-35806-35807-35808-35809-35810-35813-35814-35815-35816-35824-35893-35811-35895-35896-35897-35812-35899-35894-35898-35958-35966-35979
AL,6,35005-35006-35007-35013-35015-35023-35031-35034-35036-35040-35041-35035-35042-35043-35045-35046-35048-35049-35051-35060-35068-35071-35072-35078-35073-35080-35074-35079-35085-35089-35091-35094-35097-35114-35115-35116-35117-35118-35119-35121-35123-35124-35126-35127-35133-35136-35137-35139-35143-35144-35147-35171-35172-35173-35176-35178-35180-35181-35183-35184-35185-35186-35187-35188-35209-35210-35213-35216-35222-35223-35225-35226-35229-35230-35240-35242-35243-35244-35245-35253-35260-35266-35277-35278-35279-35286-35293-35236-35288-35238-35952-36026-36091-36750-36793-36792-36790
AL,7,36702-36703-36701-35020-35022-35021-35061-35064-35111-35142-35201-35202-35203-35204-35205-35206-35207-35208-35212-35211-35214-35217-35218-35215-35220-35219-35221-35224-35228-35231-35233-35234-35235-35237-35232-35249-35246-35254-35259-35261-35263-35255-35280-35281-35282-35285-35283-35287-35289-35291-35290-35292-35294-35295-35296-35297-35298-35299-35401-35402-35403-35404-35407-35440-35405-35442-35441-35443-35447-35448-35449-35452-35453-35456-35460-35461-35462-35463-35464-35466-35469-35470-35471-35459-35474-35478-35480-35477-35481-35485-35486-35487-35490-35491-36032-36040-36043-36047-36102-36103-36105-36108-36116-36118-36119-36121-36120-36124-36125-36131-36132-36133-36134-36135-36140-36141-36142-36435-36436-36446-36451-36482-36501-36515-36524-36540-36545-36720-36721-36722-36723-36726-36727-36736-36738-36740-36741-36742-36744-36728-36732-36745-36748-36751-36752-36753-36754-36756-36758-36759-36761-36762-36763-36764-36765-36766-36767-36768-36769-36773-36775-36776-36782-36785-36786-36783-36784-36901-36904-36907-36908-36910-36912-36913-36915-36916-36919-36921-36922-36925
AR,1,72479-72478-72474-72340-71630-72482-71667-72654-72075-72342-71639-72473-72657-71638-72359-72659-72658-72472-72346-71640-72663-71643-71644-71666-72324-72322-72301-72476-72310-72311-72303-72313-72321-72312-72320-72315-72319-72316-72325-72326-72327-72331-72332-72330-72329-72328-72333-71653-71654-72475-72338-72335-72339-71662-72336-71674-72074-72341-72038-72066-72037-72064-71678-72072-72036-72044-72040-72041-72043-72675-72680-72042-72073-72048-72046-72051-72055-72059-72067-72069-72354-72686-72108-72083-72086-72101-72358-72355-72543-72519-72029-72112-72353-72653-72517-72370-72515-72365-72364-72369-72123-72368-72360-72513-72471-72131-72130-72458-72367-72366-72140-72134-72133-72503-72512-72501-72168-72520-72373-72457-72166-72160-72396-72165-72521-72528-72179-72523-72169-72170-72530-72372-72176-72175-72522-72526-72189-72527-72524-72525-72374-72529-72395-72376-72379-72384-72377-72383-72542-72389-72387-72386-72392-72391-72394-72390-72401-72416-72404-72403-72402-72412-72411-72410-72415-72413-72414-72419-72417-72428-72421-72422-72429-72424-72425-72427-72540-72426-72431-72455-72539-72430-72456-72440-72435-72432-72433-72434-72436-72439-72438-72437-72533-72441-72444-72454-72538-72443-72442-72532-72531-72449-72453-72447-72445-72536-72451-72537-72534-72450-72352-72459-72550-72460-72464-72546-72467-72545-72544-72470-72565-72555-72554-72553-72462-72564-72566-72556-72461-72562-72561-72560-72466-72575-72651-72567-72572-72568-72571-72569-72573-72579-72465-72587-72003-72577-72578-72576-72006-72005-72585-72583-72007-72581-72584-72469-72014-72351-72623-72017-72617-72350-72639-72636-72635-72645-72348-72642-72021-72650-72024-72347-72026-72023
AR,2,72110-72219-72217-72214-72216-72215-72223-72222-72295-72221-72260-72225-72227-72231-72031-72032-72030-72035-72034-72033-72063-72045-72039-72053-72047-72052-72061-72060-72058-72065-72068-72070-72081-72076-72080-72078-72085-72082-72099-72089-72088-72103-72102-72106-72107-72212-72115-72145-72111-72114-72113-72121-72120-72116-72119-72117-72118-72143-72122-72142-72124-72127-72126-72125-72141-72139-72135-72137-72136-72199-72153-72204-72149-72167-72158-72157-72156-72164-72198-72178-72173-72209-72190-72181-72180-72183-72201-72203-72202-72205-72207-72206-72002-72211-72001-72013-72012-72011-72010-72028-72016-72027-72015-72020-72019-72629-72018-72025-72210-72022
